Competition,Sex,Event,Year,Venue,Round,Heat,Wind,Sprinter,FinishTime,ReactionTime,Result
Europeans,Womens,110m Hurdles,2010,Barcelona,1,4,0,Beate Schrott,NA,NA,Disqualified
Europeans,Womens,110m Hurdles,2010,Barcelona,2,1,-0.4,Nevin Yanõt,12.71,0.179,Qualified
Europeans,Womens,110m Hurdles,2010,Barcelona,2,1,-0.4,Carolin Dietrich,12.75,0.184,Qualified
Europeans,Womens,110m Hurdles,2010,Barcelona,2,1,-0.4,Derval O'Rourke,12.75,0.176,Qualified
Europeans,Womens,110m Hurdles,2010,Barcelona,2,1,-0.4,Lisa Urech,12.95,0.171,FastestQualifier
Europeans,Womens,110m Hurdles,2010,Barcelona,2,1,-0.4,Joanna Kocielnik,13.06,0.16,Eliminated
Europeans,Womens,110m Hurdles,2010,Barcelona,2,1,-0.4,Olga Samylova,13.08,0.187,Eliminated
Europeans,Womens,110m Hurdles,2010,Barcelona,2,1,-0.4,Katsiaryna Paplauskaya,13.14,0.179,Eliminated
Europeans,Womens,110m Hurdles,2010,Barcelona,2,1,-0.4,Cindy Roleder,NA,NA,Disqualified
Europeans,Womens,110m Hurdles,2010,Barcelona,2,2,-1.9,Tatyana Dektyareva,12.81,0.209,Qualified
Europeans,Womens,110m Hurdles,2010,Barcelona,2,2,-1.9,Christina Vukicevic,12.85,0.173,Qualified
Europeans,Womens,110m Hurdles,2010,Barcelona,2,2,-1.9,Yevheniya Snihur,12.88,0.167,Qualified
Europeans,Womens,110m Hurdles,2010,Barcelona,2,2,-1.9,Nadine Hildebrand,12.96,0.185,FastestQualifier
Europeans,Womens,110m Hurdles,2010,Barcelona,2,2,-1.9,Lucie _krob‡kov‡,13.1,0.163,Eliminated
Europeans,Womens,110m Hurdles,2010,Barcelona,2,2,-1.9,Elisabeth Davin,13.15,0.161,Eliminated
Europeans,Womens,110m Hurdles,2010,Barcelona,2,2,-1.9,Victoria Schreibeis,13.41,0.206,Eliminated
Europeans,Womens,110m Hurdles,2010,Barcelona,2,2,-1.9,Alina Talay,NA,NA,Disqualified
Europeans,Womens,110m Hurdles,2010,Barcelona,3,1,-0.5,Nevin Yanõt,12.63,0.184,Gold
Europeans,Womens,110m Hurdles,2010,Barcelona,3,1,-0.5,Derval O'Rourke,12.65,0.172,Silver
Europeans,Womens,110m Hurdles,2010,Barcelona,3,1,-0.5,Carolin Dietrich,12.68,0.177,Bronze
Europeans,Womens,110m Hurdles,2010,Barcelona,3,1,-0.5,Christina Vukicevic,12.78,0.157,Finalist
Europeans,Womens,110m Hurdles,2010,Barcelona,3,1,-0.5,Yevheniya Snihur,12.92,0.151,Finalist
Europeans,Womens,110m Hurdles,2010,Barcelona,3,1,-0.5,Tatyana Dektyareva,12.98,0.185,Finalist
Europeans,Womens,110m Hurdles,2010,Barcelona,3,1,-0.5,Lisa Urech,13.02,0.17,Finalist
Europeans,Womens,110m Hurdles,2010,Barcelona,3,1,-0.5,Nadine Hildebrand,13.08,0.191,Finalist
